LOCATION	PLOT	YEAR	REP	DM	BM	GY	TGW	F1_OVERALL_1	F1_OVERALL_2	F1_OVERALL_3	F1_OVERALL_4	M2_OVERALL_1	M2_OVERALL_2	M2_OVERALL_3	M2_OVERALL_4	M2_OVERALL_5
geregera	81	2012	1	121	6.666666667	NA	32.02011429	2	3	3	3	4	3	3	NA	3
geregera	784	2013	2	157	5	1.171171429	39.2	4	4	4	5	2	3	2	3	3
geregera	81	2013	1	138	6.25	NA	37	4	3	4	4	2	2	2	2	2
hagreselam	733	2013	2	129	11.875	3.604863214	61.74048	5	5	4	4	2	3	2	1	3
geregera	659	2012	2	144	5.833333333	1.32784	38.3904	4	3	3	NA	4	3	4	4	4
geregera	259	2012	1	149	4.166666667	1.12554381	42.49942857	2	3	3	3	3	4	3	3	4
hagreselam	309	2013	1	131	10.3125	2.832482286	43.42765714	3	2	3	4	2	2	2	2	2
geregera	24	2013	1	144	3.75	1.540971429	37.2	5	4	4	4	2	2	3	2	1
hagreselam	309	2012	1	119	8.125	3.115107857	34.59620571	3	3	4	3	5	3	5	4	NA
geregera	349	2013	1	146	8.75	2.747865714	NA	2	1	2	3	2	2	2	3	2
hagreselam	59	2012	?	116	6.25	2.893854571	43.872	5	5	3	4	NA	5	4	4	4
hagreselam	99	2013	1	117	10	2.958883714	42.44214857	4	4	4	4	3	3	4	3	3
geregera	733	2013	2	158	3.75	1.277105714	35.8	5	4	4	5	3	2	3	2	2
geregera	309	2012	1	140	10	2.866525714	34.00788571	3	3	4	3	5	3	5	4	5
geregera	657	2013	NA	158	5	1.506642857	40.9	4	30	4	5	3	30	3	2	3
hagreselam	670	2012	2	NA	9.375	2.919873214	34.36128	1	1	1	1	4	NA	3	3	3
hagreselam	105	2012	1	138	8.125	3.50658	42.56182857	3	3	3	3	5	4	3	4	4
hagreselam	24	2012	1	115	11.25	3.45748	26.832	3	3	3	3	4	4	3	3	3
GereGera	722	2013	2	155	6.25	2.559977143	42.8	5	4	4	4	3	3	2	3	3
hagreselam	659	2012	2	108	5.625	NA	34.72192	4	3	4	3	4	NA	3	3	3
hagreselam	240	2012	1	125	11.25	3.585814714	46.41860571	3	NA	2	3	4	3	3	3	3
hagreselam	259	2013	1	124	6.25	2.141449286	NA	4	4	4	3	2	2	3	2	3
geregera	537	2012	2	144	5	1.218460952	32.50354286	2	2	3	2	3	4	4	3	3
hagreselam	59	2013	1	117	6.875	3.018393	45.64224	4	3	4	3	2	2	2	2	2
hagreselam	417	2012	2	118	8.125	3.454857214	34.64182857	4	NA	4	4	4	4	3	4	3
geregera	99	2012	1	143	7.5	1.715332381	35.93702857	2	2	4	3	3	NA	4	5	5
hagreselam	349	2013	1	143	12.8125	4.304865429	49.08315429	2	2	3	3	2	NA	2	3	2
hagreselam	96	2013	1	130	11.25	3.418869286	43.26784	5	4	4	4	3	4	4	3	3
geregera	524	2012	2	141	6.666666667	1.818830476	42.40822857	4	4	4	4	4	4	3	4	3
hagreselam	733	2012	2	111	4.375	1.485942	28.74468571	3	2	2	2	3	3	3	3	3
hagreselam	240	2013	1	121	6.25	2.278157143	51.59314286	4	30	5	4	3	30	NA	3	3
geregera	787	2012	2	143	1.666666667	0.375353333	32.27862857	1	1	1	1	1	1	1	1	2
geregera	240	2013	1	140	8.75	2.866474286	44.7	4	4	3	4	NA	2	2	3	2
hagreselam	520	2013	2	125	8.75	3.388618286	52.25965714	4	5	4	5	3	3	3	3	NA
geregera	349	2012	1	139	7.083333333	1.861488571	33.31714286	2	2	2	2	5	3	3	4	5
